requirement_id,package,doc_summary,phase,subsets_parent,subsets_root,satisfied_by,method,level,vv_case,gate,status_at_cdr,success_criterion
R3_CAM_IF,CameraRequirements,The camera shall output analog CVBS or digital video (HDMI / CSI / USB) compatible with the selected SBC or VTX video input port.,Phase2,,,IRCamera,"I, D",Component,"VI-04, VB-01",P2,Planned,Camera enumerates on the SBC as a USB-UVC device (/dev/video0) and streams 640x512 at >= 25 Hz for >= 30 min with zero dropped-stream events.
R3_CAM_NETD,CameraRequirements,The thermal sensor NETD (noise equivalent temperature difference) shall not exceed 50mK.,Phase2,R3,R3,IRCamera,I,Component,VI-06,CDR,Verified by inspection,"Vendor datasheet / factory test report states NETD <= 50 mK at f/1.0, 25 degC ambient. T13 specified at 50 mK."
R3_CAM_PWR,CameraRequirements,The camera subsystem shall consume no more than 4.5W average during continuous operation.,Phase2,,,IRCamera,T,Component,VB-01,P2,Planned,"Measured average input power <= 4.5 W over >= 30 min of continuous streaming at 25 degC ambient, logged with an inline power meter at 1 Hz."
R3_CAM_RES,CameraRequirements,"The thermal sensor shall provide sufficient spatial resolution such that at 90m AGL a 0.5m x 0.5m target occupies at least 4 contiguous pixels in each dimension, enabling Johnson-criteria recognition.",Phase2,R3,R3,IRCamera,A,Component,VA-03,CDR,Verified by analysis,"Computed pixels-on-target >= 4 px in each dimension for a 0.5 m x 0.5 m target at 90 m AGL. T13 (640x512, 12 um, 18 mm) yields 4.17 px at the as-built 45 deg mount tilt (along-range axis) - a thin ~4 percent margin (nadir would read 8.33 px / 108 percent margin - see model.sysml OffNadirGsd, 2026-08-12)."
R3_CAM_WT,CameraRequirements,The camera subsystem (sensor + lens + housing + cabling) shall not exceed 200g total mass.,Phase2,,,IRCamera,I,Component,VI-02,P2,Planned,Measured mass of camera core + 18 mm lens + housing + USB cable <= 200 g on a calibrated scale. Modeled at 21 g; 18 mm lens mass still to be confirmed (TASKS 2.1).
R4,Requirements,"The total cost for the entire integrated system shall be under $2,500.",Phase2,,,,I,System,"VI-01, VA-08",CDR,Verified by inspection,As-purchased integrated-system BOM total (excluding the existing laptop and the reusable charger / development packs) <= 2500 USD. Current committed Phases 1-3 total ~1898 USD - 24 percent margin.
R4_AF_ASSY,AirframeSubsystem,"The airframe assembly shall minimize DIY soldering, preferring pre-soldered power distribution boards, plug-in connectors, and screw-terminal motor connections.",Phase1,R5,R5,Airframe,I,Subsystem,VI-03,P1,Planned,"Build inspection records <= 2 hand-made solder joints in the committed build; every other connection is plug-in, screw-terminal or factory pre-soldered. Each joint enumerated with justification."
R4_AF_COST,AirframeSubsystem,The complete airframe subsystem cost (frame + motors + ESCs + propellers + power distribution) shall not cause the system total cost to exceed 2500 USD (R4).,Phase2,R4,R4,Airframe,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"Airframe subsystem as-purchased cost, summed into the BOM, keeps the R4 system total <= 2500 USD. AF3a = 490.99 USD all-in (incl. bundled GPS/VTX/FPV cam/props and shipping)."
R4_AF_LANDING,AirframeSubsystem,The airframe shall provide landing gear or structural clearance of at least 30mm below the lowest payload component to prevent ground contact during landing and takeoff.,Phase2,,,Airframe,I,Subsystem,VI-04,P2,Planned,"Measured vertical clearance from the lowest payload point (thermal lens tip) to the ground plane at rest >= 30 mm, with the aircraft at as-built AUW on level ground. NOTE: the v1 nose mount puts the lens tip ~31 mm below the plate - margin is ~1 mm and must be measured, not assumed (TASKS 2.7)."
R4_AF_PAYLOAD,AirframeSubsystem,"The airframe (frame + motors + ESCs + propellers + power distribution) shall have sufficient payload capacity to carry the combined mass of all onboard subsystems (battery, camera, SBC, cabling) while maintaining stable flight.",Phase2,,,Airframe,"I, A",Subsystem,"VA-05, VI-02",P2,Analysis complete · inspection planned,As-built all-up mass <= the airframe's rated payload capacity with the full payload fitted; measured AUW recorded and compared against the modeled value within +/- 5 percent.
R4_AF_PROP_CFG,AirframeSubsystem,The airframe shall accommodate propeller diameters and motor mounting patterns suitable for efficient cruise at 2.23 m/s and 90-120m AGL.,Phase1,"R1, R2",R1,Airframe,A,Subsystem,"VA-01, VI-04",CDR,Verified by analysis,"The selected motor/prop combination (XING-E 2809 800KV, HQ 9X4X3) supports the R6 endurance floor at the R2 cruise speed per the momentum-theory endurance model, and the prop mounting pattern matches the frame."
R4_AF_PWR_DIST,AirframeSubsystem,"The airframe's power distribution wiring and connectors shall supply regulated voltage to the payload subsystems (camera, SBC) and unfiltered battery voltage to the ESCs.",Phase2,,,Airframe,I,Subsystem,"VI-05, VA-06",P1,Planned,Wiring inspection confirms: ESCs on unfiltered pack voltage; SBC on regulated 12 V from the UBEC (jumper verified on 12 V before first connection); peripherals on the FC 5 V rail. Measured rail voltages within +/- 5 percent of nominal under load.
R4_AF_STIFF,AirframeSubsystem,The airframe structure shall be sufficiently rigid to prevent vibration-induced degradation of thermal image quality during cruise.,Phase2,R3,R3,Airframe,"A, T",Subsystem,"VF-09, VA-05",P2,Planned,"In-flight ArduPilot VIBE logs stay below 30 m/s^2 on all axes through cruise, and thermal frames captured in flight show no vibration blur that reduces measured pixels-on-target below the R3_CAM_RES floor."
R4_AF_WT,AirframeSubsystem,"The bare airframe mass (frame only, excluding motors, ESCs, and propellers) shall leave adequate margin such that the total takeoff mass does not exceed 80% of the airframe's rated maximum takeoff mass.",Phase2,,,Airframe,"I, A",Subsystem,"VA-05, VI-02",P2,Analysis complete · inspection planned,"Measured total takeoff mass <= 80 percent of the airframe's rated maximum takeoff mass, at as-built AUW with the full Phase-2 payload."
R4_BAT_COST,BatterySubsystem,"The battery cost, when summed with all other subsystem costs, shall not cause the system total cost to exceed 2500 USD (R4).",Phase2,R4,R4,Battery,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"Battery cost, summed into the BOM, keeps the R4 system total <= 2500 USD. BAT10 = 275.00 USD."
R4_BAT_DISCHARGE,BatterySubsystem,The battery shall sustain continuous discharge at the system maximum current draw without triggering the airframe ESC's low-voltage cutoff or causing voltage sag that degrades flight performance.,Phase2,,,Battery,T,Subsystem,VB-04,P1,Planned,"At the measured maximum system current draw, pack terminal voltage stays above the ESC low-voltage cutoff with sag <= 0.3 V/cell, logged over a full discharge to the BATT_LOW_MAH trigger."
R4_BAT_ENERGY,BatterySubsystem,"The battery shall store sufficient usable energy such that, when combined with the system total power draw as computed by FlightTimeCalc, the minimum sustained flight time of 1800 seconds (R6) is achieved.",Phase2,R6,R6,Battery,"A, T",Subsystem,"VA-01, VF-01",P1,Analysis complete · test planned,"Usable pack energy (85 percent DoD of 932.16 kJ) exceeds the energy required for 1800 s at the modeled system power, and measured hover endurance is >= 30.0 min."
R4_BAT_ENERGY_STRETCH,BatterySubsystem,The battery shall store sufficient usable energy such that the stretch-goal sustained flight time of 3600 seconds (R8) is achievable.,Phase2,R8,R8,Battery,A,Subsystem,VA-01,CDR,Not met (documented),"Usable pack energy sufficient for 3600 s of sustained hover. Reference build models 58.4 min cruise / below the 60 min hover floor - tracks the R8 stretch-goal shortfall; documented, not waived."
R4_BAT_IF,BatterySubsystem,The battery connector and form factor shall be physically compatible with the selected airframe's power input leads and battery mounting bay.,Phase1,,,"AntiSparkFilter, Battery",I,Subsystem,VI-04,P1,Planned,"XT60 pack lead mates with the airframe XT60 input through the anti-spark filter, and the pack physically seats in the battery bay with retention engaged. Measured pack envelope compared against the measured bay (modeled 110 x 35 x 65 mm - ESTIMATE, confirm at Phase 2)."
R4_BAT_VOLT,BatterySubsystem,"The battery nominal voltage shall be within the operating input voltage range of the airframe's flight controller, ESC, and payload voltage regulators.",Phase1,,,Battery,"I, A",Subsystem,"VI-05, VA-06",CDR,Verified by analysis,"Pack nominal voltage lies inside the input range of the FC, ESC and payload regulators. BAT10 6S 21.6 V nominal sits within the AF3a 6S-only rating (minCells_s = maxCells_s = 6) and the 2-6S UBEC input."
R4_BAT_WT,BatterySubsystem,The battery mass shall not exceed the payload capacity of the selected airframe when combined with all other onboard subsystems.,Phase2,,,Battery,I,Subsystem,"VI-02, VA-05",P2,Planned,"Measured pack mass, combined with all other onboard subsystem masses, stays within the airframe payload capacity. BAT10 modeled at 919 g."
R4_GCS_BAT,GCSSubsystem,"The GCS shall operate on internal battery power for a duration matching or exceeding the drone's maximum planned flight time, without requiring external AC power during field operation.",Phase1,,,GCS,T,Subsystem,VB-07,P1,Planned,"Laptop and hand-held transmitter each run continuously on internal battery for >= the maximum planned flight time (>= 60 min) with the full GCS software stack active, without external AC power."
R4_GCS_COST,GCSSubsystem,"The GCS cost, when summed with all other subsystem costs, shall not cause the system total cost to exceed 2500 USD (R4).",Phase2,R4,R4,GCS,I,Subsystem,"VI-01, VA-08",CDR,Verified by inspection,"GCS cost, summed into the BOM, keeps the R4 system total <= 2500 USD. GCS = TX12 MkII 117.93 + ELRS dongle 16.00 + VRX6 ~44.45 + patch 36.85; laptop existing at 0 USD."
R4_GCS_CTRL,GCSSubsystem,"The GCS shall provide flight control inputs (throttle, roll, pitch, yaw, arming, flight mode selection) with sufficient latency and resolution for safe manual operation at 2800m range.",Phase1,,,"GCS, RcTx",T,System,VF-03,P1,Planned,"At 2800 m slant range: full control-channel authority retained on all axes, arming and flight-mode changes execute, and stick-to-response latency measured <= 100 ms with no failsafe trigger."
R4_GCS_IF,GCSSubsystem,The GCS receiver and transmitter shall be compatible with the drone's video transmitter and telemetry radio operating frequencies and protocols.,Phase1,,,GCS,I,Subsystem,VI-07,CDR,Verified by inspection,"GCS receive/transmit bands and protocols match the airborne equipment: ELRS 2.4 GHz control+telemetry to the iFlight True Diversity RX, and 5.8 GHz analog CVBS to the Skydroid VRX6."
R4_GCS_RANGE,GCSSubsystem,The GCS control link and video receiver shall maintain a reliable connection with the drone at a slant range of at least 2800 meters under clear line-of-sight conditions.,Phase1,R7,R7,"Antenna, GCS, OhdGndRx, OhdWifiTx","A, T",System,"VA-02, VF-03",P1,Analysis complete · test planned,Control link maintained at >= 2800 m slant range under clear line-of-sight with >= 10 dB fade margin and <= 1 percent packet loss over a 5 min hold; no failsafe trigger. Analysis basis: FSPL link budget.
R4_GCS_SWEEP_SPACING,GCSSubsystem,"The flight planning software shall generate survey routes whose across-track flight-line spacing does not exceed 90 percent of the thermal camera's ground swath at the planned survey altitude, guaranteeing at least 10 percent overlap between adjacent passes and gap-free ground coverage of the area of interest. Verified by demonstration: plan a survey grid in the GCS application and compare the generated line spacing against 0.9 x (2 x altitude x tan(HFOV/2)). The selected GCS application (QGroundControl 4.4+) computes this natively from camera FOV and a side-overlap setting.",Phase1,R9,R9,planRoute,D,System,VF-05,P1,Planned,"A survey grid planned in QGroundControl generates across-track line spacing <= 0.9 x (2 x altitude x tan(HFOV/2)) at the planned altitude, giving >= 10 percent side overlap. Verified by reading back the generated waypoints."
R4_GCS_TELEM,GCSSubsystem,"The GCS display shall present real-time drone telemetry data (altitude, position, battery voltage, heading, speed) to the operator.",Phase1,,,"GCS, RcTx, gcsApp, monitorMission",D,System,VF-06,P1,Planned,"Altitude, position, battery voltage, heading and ground speed are all displayed and refreshing at >= 1 Hz on the GCS at 2800 m range, with no field stale for > 3 s."
R4_GCS_VIDEO_DISP,GCSSubsystem,"The GCS display shall render the thermal video feed at sufficient resolution, brightness, and size such that the operator can perform detection (R3.1) and classification (R3.2) tasks.",Phase4,R3,R3,"GCS, OhdGndRx, OhdWifiTx, Vrx",D,System,VF-10,P4,Deferred (Phase 4),"Operator can perform R3_1 detection and R3_2 classification from the ground display. Deferred: the committed Phase 1-3 build has no thermal downlink, so this is unverifiable until the Phase 4 OpenHD capability is built."
R4_GCS_WT,GCSSubsystem,"The GCS system (transmitter, display, antennas, battery) shall be portable and hand-held for field operation.",Phase1,,,GCS,I,Subsystem,VI-09,P1,Planned,"Complete GCS kit (transmitter, laptop, antennas, receiver, cabling) is carried and operated by a single person in the field; total kit mass recorded."
R4_SBC_COST,SBCSubsystem,The SBC cost shall not exceed 150 USD.,Phase2,R4,R4,SBCPayload,I,Component,"VI-01, VA-08",CDR,Verified by inspection,As-purchased SBC cost <= 150 USD. SBC3 NanoPi M5 4 GB = 126.00 USD - 16 percent margin.
R4_SBC_DATA_AF,SBCSubsystem,The SBC shall exchange telemetry and status data with the flight controller (airframe) through the data_af interface.,Phase3,,,"SBCPayload, mavlinkRouter",D,Subsystem,VB-05,P3,Planned,"SBC and flight controller exchange MAVLink2 over UART with >= 99 percent message delivery over a 30 min run, including heartbeat, telemetry read and a GUIDED-mode setpoint write acknowledged by the FC."
R4_SBC_PWR,SBCSubsystem,The SBC shall consume no more than 10W average during continuous operation at cruise.,Phase3,,,SBCPayload,T,Component,"VB-02, VB-03",P2,Planned,"Measured average input power <= 10 W over >= 30 min running the production INT8 inference model at the operational frame rate, logged with an inline power meter at 1 Hz. RUN JOINTLY WITH VB-03: the 10 W figure in candidates.sysml is this requirement's cap, not a measurement (FriendlyElec publishes no power data for the M5), so the same run must log input power and the RK3576 on-die junction temperature together - that pair measures the heat load and the as-built assembly's thermal resistance at once and retires the modeling assumptions in analysis/sbc_thermal_analysis.md. Deduct the ~0.8 W exported to the T13 over USB to get board heat."
R4_SBC_TEMP,SBCSubsystem,The SBC shall operate within the full environmental temperature range of the drone system without active cooling.,Phase3,,,SBCPayload,"A, T",Component,"VA-09, VB-03",P2,Analysis complete · restatement required,"SoC junction stays >= 10 degC below the 85 degC Rockchip DVFS trip at sustained 10 W inference load over 30 min: (a) in flight, passively, on rotor inflow, at ambient up to 40 degC; (b) on the ground with the deck fan running. Per analysis/sbc_thermal_analysis.md the flight case passes passively (79 degC at the conservative 0.98 m/s inflow estimate) but the still-air ground case does not (117 degC on a 35 degC pad in sun) - so the fan is ground-support, not flight-critical. Conditional on the full-board light-finish heatsink; the SoC-sized sink fails every case. BLOCKED: the requirement text still says 'without active cooling' and defines no environmental range - restatement proposed in the analysis."
R4_SBC_VIDEO_IN,SBCSubsystem,The SBC shall accept a video input from the thermal camera that matches the camera's video output format.,Phase2,,,SBCPayload,D,Component,VB-01,P2,Planned,"The SBC accepts the T13 output in its native format: USB-UVC enumeration at 640x512, >= 25 Hz, sustained >= 30 min with no format negotiation failure."
R4_SBC_VIDEO_PROC,SBCSubsystem,The SBC shall process the incoming video stream for live transmission to the ground control station without introducing a processing delay that degrades the operator's ability to detect and classify targets per R3.1 and R3.2.,Phase4,R3,R3,SBCPayload,T,System,VB-08,P4,Deferred (Phase 4),End-to-end glass-to-glass latency does not degrade operator detection/classification per R3_1 and R3_2. Deferred: applies only to the Phase 4 downlink path; the committed build runs inference onboard with no operator-in-the-loop video.
R4_SBC_WT,SBCSubsystem,The SBC (board + cabling + any enclosure) shall not exceed 100g total mass.,Phase2,,,SBCPayload,I,Component,VI-02,P2,Planned,Measured mass of the SBC board + cabling + printed deck + fan <= 100 g on a calibrated scale.
R5,Requirements,The system shall minimize DIY soldering.,Phase2,,,,I,System,VI-03,P1,Planned,"Design and build inspection confirms the committed build is assembled from PNP/pre-soldered parts with <= 2 hand-made solder joints (currently: the UBEC 12 V leads to the USB-C pigtail), each enumerated and justified."
R6,Requirements,Minimum sustained flight time: 30 minutes in non-wind (0 m/s) conditions.,Phase2,,,,"A, T",System,"VA-01, VF-01",P1,Analysis complete · test planned,"Measured hover endurance >= 30.0 min from full charge to the BATT_LOW_MAH = 700 mAh RTL trigger, in <= 1 m/s wind at as-built AUW, and the endurance model correlates to the measured hover current within +/- 15 percent."
R6_BHV_RTL_RESERVE,Requirements,"The autonomous flight behavior shall command an automatic return-to-launch (RTL) when usable battery energy reaches a return-energy reserve threshold sufficient to guarantee the vehicle can return to the launch point and land before energy is depleted. Reserve threshold value: see R6_FS_BATT (static worst-case parameter set, closing the former SSS §3.7 gap).",Phase1,R6,R6,"executeRtl, fcSoftware","A, D",System,"VA-07, VF-04",P1,Analysis complete · demo planned,"RTL is commanded automatically when usable energy reaches the 700 mAh reserve, and the vehicle returns from the R7 worst-case 2.8 km and lands with >= 145 mAh usable energy remaining (26 percent over the 555 mAh bare-RTL cost at RTL_SPEED = 12 m/s). NOTE: the 30 percent design margin computes to 722 mAh; the set value is rounded down to 700, so the achieved margin is 26 percent - the requirement text's '30 percent' is the pre-rounding intent."
R6_FS_BATT,Requirements,"Low-battery failsafe parameter set realizing R6_BHV_RTL_RESERVE's return-energy reserve threshold: a static, worst-case-distance reserve (David 2026-08-11 - a distance-adaptive reserve that shrinks as the vehicle nears the launch point was considered and deferred to Phase 3 as new SBC/Lua behavior rather than folded into this Phase 1 config item; see TASKS.md D2.17). BATT_LOW_MAH = 700 mAh (RTL trigger; a 30 percent margin over the 555 mAh bare-RTL energy cost of the worst-case 2.8 km return (R7) at RTL_SPEED = 12 m/s, the power-bucket-minimum return speed - see analysis/low_battery_reserve_analysis.md). BATT_CRT_MAH = 350 mAh (critical-landing trigger, half the low threshold - the absolute hard-floor backstop regardless of any dynamic logic added later). BATT_LOW_VOLT = 20.4 V (3.4 V/cell first-stage warning). BATT_CRT_VOLT = 19.2 V (3.2 V/cell critical stage). BATT_FS_LOW_ACT = 2 (RTL on low). BATT_FS_CRT_ACT = 1 (Land on critical). BATT_MONITOR = 4 (fuel level + voltage). RTL_SPEED = 12 m/s (the power-bucket return speed that makes the 700 mAh reserve sufficient; a slow 2.23 m/s return would need roughly 1950 mAh instead). Closes the SSS §3.7 low-battery-failsafe gap.",Phase1,R6_BHV_RTL_RESERVE,R6,fcSoftware,"I, D",Subsystem,"VI-08, VB-06",P1,Planned,"FC parameters read back equal to the specified set (BATT_LOW_MAH 700, BATT_CRT_MAH 350, BATT_LOW_VOLT 20.4, BATT_CRT_VOLT 19.2, BATT_FS_LOW_ACT 2, BATT_FS_CRT_ACT 1, BATT_MONITOR 4, RTL_SPEED 12), and a bench-injected low-battery condition triggers RTL then Land at the correct thresholds."
R7,Requirements,Minimum linear distance during surveillance: 2800 meters when performing surveillance at 2.2 m/s in sustained wind conditions of 4.5 m/s.,Phase2,,,,"A, T",System,"VA-02, VF-03",P1,Analysis complete · test planned,"Surveillance maintained out to >= 2800 m linear distance at 2.2 m/s in sustained 4.5 m/s wind, with the control link held to the R4_GCS_RANGE margin and the vehicle recovered under its own power."
R7_BHV_LINKLOSS_RTL,Requirements,"The autonomous flight behavior shall command an automatic return-to-launch (RTL) when the control link (ELRS) is lost beyond the flight controller's failsafe timeout, so a surveillance sortie fails safe rather than continuing uncommanded. Realization parameter set: see R7_FS_LINK (closing the former SSS §3.7 gap).",Phase1,R7,R7,"executeRtl, fcSoftware",D,System,VF-04,P1,Planned,"With the transmitter powered off mid-sortie, the vehicle commands RTL within the FC failsafe timeout and returns unaided - including when interrupted mid-investigation in GUIDED mode (unconditional abort)."
R7_FS_LINK,Requirements,"Link-loss failsafe parameter set realizing R7_BHV_LINKLOSS_RTL's control-link-loss RTL trigger. FS_THR_ENABLE = 1 (enable throttle-based RC failsafe, action = RTL). FS_THR_VALUE = 900 (the ELRS receiver outputs a throttle-channel value below 900, out of the ~1000-2000 PWM range, when it has lost the transmitter signal; ArduPilot reads that as link loss). FS_OPTIONS = 0 (no continue-on-failsafe exceptions - RTL fires unconditionally on link loss, even if the vehicle is mid-investigation in GUIDED mode; David 2026-08-11 - finishing the current investigation before RTLing was considered and rejected in favor of the simpler, safer unconditional abort). Closes the SSS §3.7 link-loss-failsafe gap.",Phase1,R7_BHV_LINKLOSS_RTL,R7,fcSoftware,"I, D",Subsystem,"VI-08, VB-06",P1,Planned,"FC parameters read back equal to the specified set (FS_THR_ENABLE 1, FS_THR_VALUE 900, FS_OPTIONS 0), and a bench link-loss (transmitter powered off, props removed) triggers RTL with no continue-on-failsafe exception."
R8,Requirements,Stretch Goal: sustained flight time of 60 minutes in non-wind (0 m/s) conditions.,Phase2,,,,A,System,"VA-01, VF-01",CDR,Not met (documented),Modeled sustained hover endurance >= 60.0 min in zero wind. Reference build (Chimera9 ECO + BAT10) models 58.4 min cruise - short of the stretch goal. Documented as not met; R6 remains the governing floor.
R9,Requirements,"Area coverage: the system shall survey a contiguous area of at least 30 acres (12.1 hectares) in a single sortie, at the R1 nominal survey altitude and the R2 survey speed of 2.23 m/s, holding a 20 percent battery reserve. Covered area = usable swept track length x across-track flight-line spacing; the two contributing requirements are R3_CAM_FOV (sensor swath) and R4_GCS_SWEEP_SPACING (route spacing). Consistency with R6: at the R6 minimum endurance of 30 minutes the usable swept track is approximately 3210 m, which at the 46.1 m line spacing afforded by the selected 24.1 degree thermal lens covers approximately 36.6 acres. R9 is therefore satisfied by any design that meets R6, and R6 remains the governing endurance floor. R10 is the 60-acre stretch goal.",Phase2,,,,"A, D",System,"VA-04, VF-05",P1,Analysis complete · demo planned,"Computed contiguous covered area >= 30.0 acres (12.1 ha) at R1 altitude, R2 speed and a 20 percent reserve, and demonstrated by a planned QGroundControl survey grid whose coverage polygon meets the same floor. At the R6 30 min floor the model computes ~36.6 acres."
